name	status	detail
abs_positive	PASS	42
abs_negative	PASS	42
abs_zero	PASS	0
min_3_7	PASS	3
min_neg5_neg10	PASS	-10
min_equal	PASS	7
max_3_7	PASS	7
max_neg5_neg10	PASS	-5
sign_positive	PASS	1
sign_negative	PASS	-1
sign_zero	PASS	0
clamp_in_range	PASS	5
clamp_below_lo	PASS	1
clamp_above_hi	PASS	10
i64_max	PASS	9223372036854775807
i64_min	PASS	-9223372036854775808
i64_overflow_wraps	PASS	-9223372036854775808
sqr_7	PASS	49
sqr_0	PASS	0
